config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=78, w=24",trm_decoupled_nods-untied_matched,accuracy,-0.05139583333333333,0.08826625958438769,10,3,7,0.34375
"rule=78, w=24",trm_decoupled_nods-untied_matched,exact_match,-0.0686,0.040266335539477366,10,0,10,0.001953125
"rule=78, w=24",trm_decoupled_nods-untied_matched,coherence_excess,-0.052799614556888044,0.02492200230794994,10,0,10,0.001953125
"rule=78, w=32",trm_nods-trm_decoupled_nods,accuracy,0.074215625,0.030304299613863453,10,10,0,0.001953125
"rule=78, w=32",trm_nods-trm_decoupled_nods,exact_match,0.08759999999999998,0.0298261630116916,10,10,0,0.001953125
"rule=78, w=32",trm_nods-trm_decoupled_nods,coherence_excess,0.056325468731504166,0.02165901449323328,10,10,0,0.001953125
"rule=78, w=32",trm_stepDS-trm_decoupled_stepDS,accuracy,0.058087500000000014,0.02372445995170386,10,10,0,0.001953125
"rule=78, w=32",trm_stepDS-trm_decoupled_stepDS,exact_match,0.13799999999999996,0.02381876011326646,10,10,0,0.001953125
"rule=78, w=32",trm_stepDS-trm_decoupled_stepDS,coherence_excess,0.07246311951517102,0.011400647525601293,10,10,0,0.001953125
"rule=78, w=32",trm_nods-ff_matched,accuracy,-0.021234375000000007,0.0073213717846471495,10,0,10,0.001953125
"rule=78, w=32",trm_nods-ff_matched,exact_match,-0.013800000000000003,0.026790545596036924,10,5,5,1.0
"rule=78, w=32",trm_nods-ff_matched,coherence_excess,0.024195243683803776,0.02098250639298954,10,8,2,0.109375
"rule=78, w=32",trm_nods-untied_matched,accuracy,0.06559375000000002,0.008389860365014675,10,10,0,0.001953125
"rule=78, w=32",trm_nods-untied_matched,exact_match,0.06949999999999999,0.023329761631396443,10,10,0,0.001953125
"rule=78, w=32",trm_nods-untied_matched,coherence_excess,0.0383372186339392,0.016687794694005675,10,10,0,0.001953125
"rule=78, w=32",trm_decoupled_nods-ff_matched,accuracy,-0.09545000000000001,0.027968131976411997,10,0,10,0.001953125
"rule=78, w=32",trm_decoupled_nods-ff_matched,exact_match,-0.1014,0.01731537531277397,10,0,10,0.001953125
"rule=78, w=32",trm_decoupled_nods-ff_matched,coherence_excess,-0.0321302250477004,0.013755602029148375,10,0,10,0.001953125
"rule=78, w=32",trm_decoupled_nods-untied_matched,accuracy,-0.008621874999999979,0.031052205460734898,10,5,5,1.0
"rule=78, w=32",trm_decoupled_nods-untied_matched,exact_match,-0.0181,0.013835943528843028,10,1,9,0.021484375
"rule=78, w=32",trm_decoupled_nods-untied_matched,coherence_excess,-0.017988250097564967,0.011465567379094014,10,1,9,0.021484375
